thi	O
playmobil	B_BRAND
?	O
special	O
gladiat	O
walk	O
out	O
into	O
the	O
arena	O
,	O
he	O
heard	O
the	O
roar	O
of	O
the	O
crowd	O
!	O
He	O
is	O
favor	O
to	O
beat	O
hi	O
competitor	O
in	O
thi	O
duel	O
.	O
with	O
hi	O
protect	O
bodi	O
armor	O
,	O
hi	O
opponent'	O
sword	O
doesn't	O
stand	O
a	O
chanc	O
of	O
penetr	O
hi	O
bodi	O
.	O
includ	O
one	O
playmobil	B_BRAND
?	O
posabl	O
figur	O
,	O
sword	O
and	O
shield	O
.	O
1998	O
star	O
war	O
delux	O
obi	O
wan	O
kenobi	O
battl	O
swing	O
figur	O
with	O
lightsab	O
handl	O
handl	O
trigger	O
battl	O
swing	O
episod	O
1	O
mint	O
in	O
packag	O
collect	O
captain	B_CHARACTER
america	I_CHARACTER
Is	O
the	O
ultim	O
super	O
soldier	O
but	O
even	O
He	O
need	O
some	O
turbo	O
power	O
help	O
against	O
hi	O
toughest	O
enemi	O
!	O
thi	O
titan	O
hero	O
seri	O
captain	B_CHARACTER
america	I_CHARACTER
figur	O
come	O
with	O
A	O
speedi	O
defend	O
cycl	O
vehicl	O
for	O
high	O
speed	O
chase	O
.	O
He	O
Ll	O
stand	O
astrid	O
hi	O
cycl	O
with	O
hi	O
shield	O
On	O
hi	O
arm	O
,	O
chase	O
the	O
bad	O
down	O
one	O
By	O
one	O
!	O
with	O
thi	O
power	O
thrust	O
cycl	O
,	O
your	O
captain	B_CHARACTER
america	I_CHARACTER
figur	O
will	O
prevail	O
over	O
hi	O
enemi	O
everi	O
time	O
!	O
includ	O
figur	O
,	O
vehicl	O
and	O
instruct	O
.	O
titan	O
hero	O
seri	O
captain	B_CHARACTER
america	I_CHARACTER
figur	O
come	O
with	O
defend	O
cycl	O
vehicl	O
captain	B_CHARACTER
america	I_CHARACTER
figur	O
stand	O
12	O
inch	O
tall	O
and	O
wear	O
hi	O
signatur	O
shield	O
figur	O
stand	O
astrid	O
cycl	O
cycl	O
work	O
with	O
most	O
titan	O
hero	O
seri	O
figur	O
action	O
figur	O
size	O
12	O
age	O
4	O
and	O
Up	O
thi	O
small	O
crazi	O
dog	B_CHARACTER
wag	O
it	O
tail	O
and	O
move	O
in	O
a	O
circular	O
fashion	O
.	O
tommi	O
size	O
2	O
.	O
5	O
X3	O
X1	O
inch	O
neca	B_BRAND
marvel	O
wolverin	O
head	O
knocker	O
straight	O
out	O
of	O
the	O
star	B_BRAND
war	I_BRAND
univers	O
,	O
it'	O
the	O
new	O
tie	O
fighter	O
pilot	O
from	O
jakk	O
pacif	O
!	O
these	O
special	O
train	O
pilot	O
control	O
tie	O
fighter	O
,	O
the	O
primari	O
vehicl	O
of	O
attack	O
for	O
the	O
galact	O
empir	O
.	O
the	O
tie	O
pilot	O
stand	O
18	O
tall	O
and	O
ha	O
seven	O
point	O
of	O
articul	O
so	O
you	O
can	O
pose	O
him	O
ani	O
way	O
you	O
want	O
!	O
although	O
usual	O
in	O
